product_name                                                                            ,frequency ,subcategory                    ,brand        ,category          ,width ,depth ,height
46mm Denim Sport Band - S/M                                                             ,      3   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Desert Stone Nike Sport Band - S/M                                                 ,      1   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Ink Sport Loop                                                                     ,      4   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Ink Sport Loop - XL                                                                ,      2   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Lake Green Sport Loop                                                              ,      5   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Light Blush Sport Band - S/M                                                       ,      1   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Midnight Sky Nike Sport Band - M/L                                                 ,      4   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Plum Sport Band - M/L                                                              ,      1   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Plum Sport Band - S/M                                                              ,      2   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Plum Sport Loop                                                                    ,      2   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Starlight Sport Band - M/L                                                         ,      7   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Starlight Sport Band - S/M                                                         ,      4   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Stone Gray Sport Band - M/L                                                        ,      1   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Stone Gray Sport Band - S/M                                                        ,      2   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
46mm Ultramarine Sport Loop                                                             ,      5   ,46mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
49mm Blue Trail Loop - M/L - Natural Titanium Finish                                    ,     10   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
49mm Green Alpine Loop - Small                                                          ,      1   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
49mm Green Trail Loop - M/L - Black Titanium Finish                                     ,      3   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
49mm Ice Blue Ocean Band - Black Titanium Finish                                        ,      3   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
49mm Navy Alpine Loop - Large - Black Titanium Finish                                   ,      1   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
49mm Navy Ocean Band - Natural Titanium Finish                                          ,      4   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
49mm Starlight Alpine Loop - Large                                                      ,      1   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
49mm Tan Alpine Loop - Large - Black Titanium Finish                                    ,      1   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
49mm Tan Alpine Loop - Large - Natural Titanium Finish                                  ,      2   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
49mm Yellow/Beige Trail Loop - M/L                                                      ,      2   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 40 KHAKI SPORT BAND-ZML                                                     ,      1   ,40mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 40mm RED SPORT BAND                                                         ,      3   ,40mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 40mm SPEARMINT BAND                                                         ,      1   ,40mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 BLACK/BLUE NSL-ZML                                                       ,      1   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 BLUE FLAME NSB M/L-ZML                                                   ,      3   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 BRIGHT GREEN/BLUE NSL-ZML                                                ,      2   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 CARGO KHAKI NSB M/L-ZML                                                  ,      3   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 CLAY SB S/M-ZML                                                          ,      2   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 CYPRESS SL-ZML                                                           ,      2.5 ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 DESERT STONE NSB M/L-ZML                                                 ,      3   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 LIGHT PINK SL-ZML                                                        ,      1   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 MAGIC EMBER NSB M/L-ZML                                                  ,      1   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 MIDNIGHT SKY NSB M/L-ZML                                                 ,      3   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 MIDNIGHT SL-ZML                                                          ,      2   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 PRIDE EDITION SB M/L-ZML                                                 ,      1   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 PRIDE EDITION SB S/M-ZML                                                 ,      2   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 PRIDE EDITION SL-ZML                                                     ,      2   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 PURE PLATINUM NSB M/L-ZML                                                ,      5   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 RED SP DEMO-ZML                                                          ,      6   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 SEQUOIA/ORANGE NSL-ZML                                                   ,      1   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 STARLIGHT SL-ZML                                                         ,      2   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 STARLIGHT/PINK NSL-ZML                                                   ,      1   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 41 WHITE SP DEMO                                                            ,      9   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 44 BLACK UNITY SB M/L-ZML                                                   ,      1   ,44mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 44MM RED SPORT                                                              ,      1   ,44mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 44MM VITAMIN C SPORT LOOP                                                   ,      1   ,44mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 BRIGHT GREEN/BLUE NSL-ZML                                                ,      2   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 CYPRESS SL-ZML                                                           ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 DESERT STONE NSB M/L-ZML                                                 ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 LIGHT PINK SB S/M-ZML                                                    ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 MIDNIGHT SB XL-ZML                                                       ,      4   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 MIDNIGHT SL XL-ZML                                                       ,     14   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 MIDNIGHT SL-ZML                                                          ,      2   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 MULBERRY SB S/M-ZML                                                      ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 PRIDE EDITION SB M/L-ZML                                                 ,      2   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 RED SB M/L-ZML                                                           ,      2   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 STARLIGHT SB S/M-ZML                                                     ,     18   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 STARLIGHT SL-ZML                                                         ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 STARLIGHT/PINK NSL-ZML                                                   ,      2   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 45 WINTER BLUE SB S/M-ZML                                                   ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
APPLE WATCH 49 GREEN ALP M DEMO                                                         ,      2   ,49mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
AW S3 42 TAHOE BLU SL-DEMO ACCS                                                         ,      1   ,42mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 40mm (PRODUCT)RED Sport Loop                                                      ,      1   ,40mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 41 Starlight Sport Band  B480  Demo                                               ,      4   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 41 mm Pure Platinum/Black Nike Sport Band  B515  Demo                             ,      3   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 41mm  PRODUCT RED Sport Band  B487  Demo                                          ,      3   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 41mm Blue Fog Sport Band - Regular                                                ,      1   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 41mm Midnight Navy/Mystic Navy Nike Sport Band - Regular                          ,      1   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 41mm Midnight Sport Band  B482  Demo                                              ,      2   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 41mm Midnight Sport Band - Regular                                                ,      3   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 45 mm Midnight Sport Band  B483  Demo                                             ,     15   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 45mm Cargo Khaki Nike Sport Loop - Regular                                        ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 45mm Midnight Sport Band - Regular                                                ,     35   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 45mm Nectarine/Peony Sport Loop                                                   ,      2   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 45mm Starlight Sport Band  B481  Demo                                             ,     10   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 45mm Starlight Sport Band - Regular                                               ,     19   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple 45mm Tornado/Gray Sport Loop - Regular                                            ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 38MM Light Gray/Volt Nike Sport                                             ,      1   ,38mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 40mm Anthracite/Black Nike Sport Band DEMO                                  ,      1   ,40mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 40mm Mallard Green Sport Band                                               ,      1   ,40mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 40mm Seashell Sport Loop                                                    ,      1   ,40mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 41mm Clover Sport Band Demo                                                 ,      1   ,41mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 42MM Black/Volt Nike                                                        ,      1   ,42mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 42mm Tahoe Blue Sport Loop DEMO                                             ,      1   ,42mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 44mm Olive Sport Loop Demo                                                  ,      1   ,44mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 44mm Purple Pulse Nike Sport Loop Demo                                      ,      1   ,44mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 44mm Summit White Nike Sport Loop                                           ,      1   ,44mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 45mm Abyss Blue/Moss Green Sport Designed by Apple in California            ,      2   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 45mm Dark Cherry/Forest Green Sport Loop Demo                               ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 45mm Elderberry Sports Band Demo                                            ,      2   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 45mm Maize/White Sport Loop Demo                                            ,      2   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 45mm Pink Pomelo/Tan Sport Loop Demo                                        ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 45mm Red Sport Loop Demo                                                    ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch 45mm Slate Blue Sports Band                                                 ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Apple Watch Magnetic Charging Cable  1 m                                                ,    197   ,USB Connector                  ,Apple        ,Cables & Adapters ,    6 ,    2 ,    20
Apple Watch Magnetic Fast Charger to USB-C Cable  1 m                                   ,    767   ,USB-C Connector                ,Apple        ,Cables & Adapters ,    6 ,    2 ,    20
Apple Watch Magnetic Fast Charger to USB-C Cable (1 m)                                  ,      1   ,Magnetic Fast Charger to USB-C ,Apple        ,Cables & Adapters ,    6 ,    2 ,    20
AppleWatch Magnetic Charging Dock                                                       ,      2   ,Magnetic Charging Dock         ,Apple        ,Chargers & Docks  ,    6 ,    2 ,    20
Bright Green Sport band 45mm                                                            ,      1   ,45mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
Watch 42mm Denim Blue Sport                                                             ,      1   ,42mm                           ,Apple        ,Straps     ,    6 ,    2 ,    20
